id,productId,locale,title,subtitle,descriptionHtml,ingredients,longDescriptionHtml
cmr0q2py30012aixk7gtmc12d,cmr0q2py30011aixkkxfc7x70,ru,Овощная нарезка,220г,"<p>Ассорти из свежих овощей: огурцы, помидоры, болгарский перец, редис.<br/>220г</p>",,
cmr0q2r600015aixk6l8ud102,cmr0q2r600014aixk45edok6o,ru,Сало домашнее,150г,"<p>Сало свиное подаётся с фирменным соусом на основе горчицы и чесночного соуса, с зелёным луком.<br/>150г</p>",,
cmr0q2sc50018aixk0ww61dbo,cmr0q2sc50017aixkdhu1k2vo,ru,"Авторская закуска (хумус, мутабал, мухаммара)",360г,"<p>Закуска на основе баклажанов, болгарского перца, нута.<br/>360г</p>",,
cmr0q2td4001baixkxq7us2zm,cmr0q2td4001aaixkmtasxxxl,ru,Гавурма,160г,<p>Древний армянский рецепт приготовления говядины в топленом масле. Подается с красным луком.<br/>160г</p>,,
cmr0q2ueq001eaixk79j3gakl,cmr0q2ueq001daixk1czjtbez,ru,Мясная тарелка,180г,"<p>Бастурма, суджук, пастрами из говядины, свиной окорок. Подается с горчичным соусом.<br/>180г</p>",,
cmr0q2vf5001haixk8wlkgeg2,cmr0q2vf5001gaixklfndifa6,ru,Сырная тарелка «Армянская»,230 г,"<p>Сыры лори, чанах, домашний выдержанный сыр, чечил<br/>230 г</p>",,
cmr0q2wh7001kaixkpw1sx4tz,cmr0q2wh6001jaixk9431qlm3,ru,Сырная тарелка «Европейская»,250 г,"<p>Моцарелла, чеддер, дор-блю, пармезан<br/>250 г</p>",,
cmr0q2xjs001naixkjmr9cf0m,cmr0q2xjr001maixkpx495psj,ru,Салат Шурик,180 г,"<p>Вырезка из телятины, микс зелени, морковь по-корейски, бальзамический уксус, грецкий орех, оливковое масло, сухарики собственного производства, дор-блю<br/>180 г</p>",,
cmr0q2ytj001qaixk5zeem319,cmr0q2ytj001paixk1x3fnjmk,ru,Салат Цезарь с креветками,220 г,"<p>Тигровые креветки, черри, фирменный соус «Цезарь», микс зелени, пармезан, хрустящий армянский лаваш<br/>220 г</p>",,
cmr0q301g001taixkbdsedjji,cmr0q301g001saixkizogkcky,ru,Цезарь с курицей,200 г,"<p>Куриная грудка, хрустящий армянский лаваш, черри, фирменный соус «Цезарь», микс зелени, пармезан<br/>200 г</p>",,
cmr0q318s001waixk27nku8y6,cmr0q318r001vaixkclhva7kl,ru,Табуле,180г,"<p>Булгур, помидоры, зелень, микс салат, фирменная заправка, красный лук, лимон, оливковое масло.<br/>180г</p>",,
cmr0q3297001zaixkiki9c1wy,cmr0q3297001yaixktxsz5ko0,ru,Овощной салат,180г,"<p>Помидоры, огурцы, болгарский перец, зелень, базилик, красный лук, оливковое масло.<br/>180г</p>",,
cmr0q348r0025aixka6sf61cj,cmr0q348r0024aixkj8vgaors,ru,Хрустящие баклажаны,180г,"<p>Хрустящие баклажаны, помидоры, фирменный соус, сыр творожный, кинза, грецкий орех.<br/>180г</p>",,
cmr0q35a60028aixkzy0f8w92,cmr0q35a60027aixk3x3s8xok,ru,Наггетсы хрустящие,160 г,<p>Куриные наггетсы в панировке собственного производства<br/>160 г</p>,,
cmr0q36co002baixk8zte8ioz,cmr0q36co002aaixki58enehj,ru,Тигровые креветки в соусе унаги,200 г,"<p>Жареные тигровые креветки, соус унаги<br/>200 г</p>",,
cmr0q37ec002eaixkkchc28ua,cmr0q37ec002daixknkpt1qz7,ru,Сырные палочки,180 г,<p>Сырные палочки в панировке<br/>180 г</p>,,
